Value outside interval: 10.0316
Value outside interval: -0.0393964
Value outside interval: -0.04901
Value outside interval: -0.0469545
Value outside interval: 10.0498
Value outside interval: -0.0174071
Value outside interval: 10.0231
Value outside interval: 10.0234
Value outside interval: 10.0102
Value outside interval: -0.0297284
Value outside interval: -0.0490289
Value outside interval: 10.0469
Value outside interval: -0.0128364
Value outside interval: -0.00246501
Value outside interval: 10.0185
Value outside interval: -0.0269194
Value outside interval: -0.00855612
Value outside interval: -0.0241844
Value outside interval: -0.0350079
Value outside interval: -0.0336311
Value outside interval: 10.0003
Value outside interval: -0.0332237
Value outside interval: 10.0306
Value outside interval: 10.0209
Value outside interval: 10.0292
Value outside interval: 10.0183
Value outside interval: 10.0126
Value outside interval: -0.0137696
Value outside interval: -0.0314103
Value outside interval: -0.0327896
Value outside interval: 10.027
Value outside interval: 10.0305
Value outside interval: -0.0491655
Value outside interval: -0.0370587
Value outside interval: -0.0331122
Value outside interval: -0.0282649
Value outside interval: -0.0493718
Value outside interval: -0.0395356
Value outside interval: -0.0318163
Value outside interval: -0.00105039
Value outside interval: -0.0380302
Value outside interval: -0.0428541
Value outside interval: 10.0226
Value outside interval: -0.0427873
Value outside interval: 10.0398
Value outside interval: -0.0359736
Value outside interval: -0.0397992
Value outside interval: 10.0075
Value outside interval: 10.0121
Value outside interval: -0.013596
Value outside interval: 10.0104
Value outside interval: 10.0381
Value outside interval: 10.0422
Value outside interval: -0.00827771
Value outside interval: 10.0371
Value outside interval: 10.0079
Value outside interval: 10.0121
Value outside interval: 10.0461
Value outside interval: 10.0165
Value outside interval: 10.0008
Value outside interval: 10.0248
Value outside interval: 10.0025
Value outside interval: -0.0369633
Value outside interval: 10.0265
Value outside interval: -0.0180386
Value outside interval: 10.0009
Value outside interval: 10.0475
Value outside interval: 10.02
Value outside interval: -0.0395319
Value outside interval: -0.00658136
Value outside interval: -0.0441532
Value outside interval: 10.0052
Value outside interval: -0.0343732
Value outside interval: -0.00412755
Value outside interval: 10.0254
Value outside interval: 10.0298
Value outside interval: -0.00040491
Value outside interval: -0.0314663
Value outside interval: -0.0410972
Value outside interval: -0.0497462
Value outside interval: 10.0368
Value outside interval: 10.0347
Value outside interval: 10.0064
Value outside interval: -0.00929965
Value outside interval: 10.0005
Value outside interval: 10.0067
Value outside interval: -0.0204516
Value outside interval: 10.038
Value outside interval: 10.0191
Value outside interval: -0.00999034
Value outside interval: 10.0269
Value outside interval: -0.0363112
Value outside interval: 10.0432
Value outside interval: 10.0378
Value outside interval: -0.0156401
Value outside interval: 10.0027
Value outside interval: 10.003
Value outside interval: 10.0436
Value outside interval: -0.0333633
Value outside interval: -0.0218595
Value outside interval: -0.0045239
Value outside interval: 10.0151
Value outside interval: -0.0204804
Value outside interval: -0.0168473
Value outside interval: 10.0479
Value outside interval: 10.0014
Value outside interval: -0.0254455
Value outside interval: 10.0381
Value outside interval: -0.0450313
Value outside interval: -0.00292637
Value outside interval: -0.029017
Value outside interval: -0.00897291
Value outside interval: -0.0271677
Value outside interval: -0.00493498
Value outside interval: -0.0489664
Value outside interval: -0.0195776
Value outside interval: 10.0236
Value outside interval: -0.046131
Value outside interval: 10.0182
Value outside interval: -0.0141065
Value outside interval: -0.0494679
Value outside interval: 10.0319
Value outside interval: 10.015
Value outside interval: -0.0464656
Value outside interval: 10.0321
Value outside interval: 10.0157
Value outside interval: 10.0148
Value outside interval: 10.0334
Value outside interval: 10.0388
Value outside interval: 10.0329
Value outside interval: 10.0024
Value outside interval: -0.000385481
Value outside interval: -0.0274983
Value outside interval: -0.0477468
Value outside interval: -0.0484864
Value outside interval: 10.0484
Value outside interval: 10.0427
Value outside interval: -0.0322566
Value outside interval: 10.0497
Value outside interval: 10.0331
Value outside interval: 10.0075
Value outside interval: 10.0314
Value outside interval: 10.0469
Value outside interval: 10.0244
Value outside interval: -0.0393569
Value outside interval: 10.0038
Value outside interval: -0.0118633
Value outside interval: -0.0352137
Value outside interval: 10.0321
Value outside interval: -0.0340202
Value outside interval: 10.0208
Value outside interval: -0.0384357
Value outside interval: -0.0356871
Value outside interval: 10.0212
Value outside interval: -0.00828984
Value outside interval: -0.0177343
Value outside interval: -0.0374529
Value outside interval: 10.03
Value outside interval: -0.04233
Value outside interval: -0.00998691
Value outside interval: -0.0301616
Value outside interval: -0.00798249
Value outside interval: -0.0442149
Value outside interval: -0.0183635
Value outside interval: -0.00609499
Value outside interval: 10.0081
Value outside interval: 10.0078
Value outside interval: 10.0473
Value outside interval: -0.0110748
Value outside interval: -0.0319059
Value outside interval: -0.00255732
Value outside interval: -0.0166483
Value outside interval: -0.0289562
Value outside interval: -0.00670682
Value outside interval: -0.0223767
Value outside interval: 10.018
Value outside interval: 10.0212
Value outside interval: 10.0393
Value outside interval: -0.00335482
Value outside interval: -0.031041
Value outside interval: -0.0273327
Value outside interval: -0.00470338
Value outside interval: 10.0486
Value outside interval: 10.0096
Value outside interval: -0.00618294
Value outside interval: 10.015
Value outside interval: 10.0027
Value outside interval: -0.00294036
Value outside interval: 10.0426
Value outside interval: -0.0470166
Value outside interval: 10.0336
Value outside interval: -0.0212751
Value outside interval: 10.018
Value outside interval: 10.0236
Value outside interval: 10.0465
Value outside interval: 10.022
Value outside interval: -0.0309381
Value outside interval: -0.0126937
Value outside interval: 10.0045
Value outside interval: 10.0168
Value outside interval: -0.0344182
